23.231.222.179:80 - IIS Windows Server
13.237.31.12:80 - Заголовок не найден
199.201.89.88:80 - One moment, please... !21!
23.62.82.9:80 - Заголовок не найден
74.106.6.32:80 - Hello! Welcome to Synology Web Station!
15.223.59.71:80 - 404 Not Found
83.32.242.56:80 -
134.255.225.199:80 - Just a moment...
143.204.119.73:80 - Заголовок не найден
213.185.87.157:80 - Заголовок не найден
127.9.185.214:80 - Заголовок не найден
35.177.226.159:80 - Something went wrong
149.75.254.197:80 - SCO-Guest
23.199.16.63:80 - Заголовок не найден
76.221.132.113:80 - CMS Web Viewer
185.252.220.187:80 - Welcome to nginx!
17.250.102.115:80 - 400 Bad Request
45.85.22.127:80 - Delen Private Bank - Web Page Blocked
18.177.15.109:80 - Заголовок не найден
179.52.250.162:80 -
79.137.76.83:80 - 403 Forbidden
23.199.214.123:80 - Заголовок не найден
123.182.72.175:80 - Connection denied by Geolocation
80.53.170.134 -  !80! !3306! !443! !3389! !22!
18.153.170.163 -  !22! !80! !21! !443! !110!
104.115.35.129 -  !443! !80! !22!
51.79.66.215 -  !143! !3306!
175.112.40.35 -  !443!
143.67.110.226 -  !80! !443! !21! !143! !22! !110! !25! !3306!
19.77.91.168 -  !80! !25!
54.66.63.74 -  !143!
162.245.115.74 -  !80!
84.224.94.137 -  !21! !443! !80! !22!
29.83.7.153 -  !443! !3389!
79.216.1.45 -  !22!
73.154.136.166 -  !80! !3306!
120.46.223.75 -  !443!
209.112.212.251 -  !3306!
30.205.156.122 -  !443!
143.217.89.204 -  !143!
216.152.115.51 -  !143!
223.22.133.114 -  !21! !22! !143! !110! !80! !25! !3389! !3306! !8080! !443!
131.10.92.200 -  !3389! !443! !22!
223.139.77.204 -  !80!
182.142.94.124 -  !443!
18.51.76.113 -  !80! !22! !443! !3306! !8080! !110! !25! !143! !21!
107.179.138.254 -  !80! !25!
29.152.189.62 -  !110! !80! !21! !25!
113.245.75.195 -  !21! !25! !143! !22! !3389! !3306! !110!
120.65.103.69 -  !80! !3389!
69.225.142.163 -  !22!
105.19.152.128 -  !143!
174.121.127.46 -  !21!
179.111.3.9 -  !143!
132.33.85.239 -  !3306!
67.81.248.157 -  !80!
50.31.199.227 -  !22!
82.101.216.56 -  !80!
91.210.248.176 -  !443!
160.157.243.220 -  !3389!
42.220.153.28 -  !25! !22!
44.63.215.184 -  !80! !21!
25.145.174.173 -  !22! !3306! !443! !21!
173.128.233.164 -  !443! !25!
27.203.200.245 -  !443!
40.138.54.0 -  !3306!
78.251.67.25 -  !3306!
104.224.66.241 -  !80! !443! !3389! !22! !110! !143! !3306! !8080! !25!
20.169.238.56 -  !443!
118.186.45.224 -  !143!
29.253.228.168 -  !3306!
99.124.30.255 -  !443! !21! !110!
212.245.122.200 -  !80! !443! !21! !3306! !110! !8080! !22! !25! !143! !3389!
111.226.49.78 -  !22! !3389!
35.217.128.51 -  !22!
196.148.246.113 -  !443! !110! !80! !22! !21! !3306! !8080! !25! !143! !3389!
179.84.152.150 -  !3389! !22! !3306!
68.38.253.96 -  !80! !3389!
88.30.162.119 -  !21! !22!
218.224.155.132 -  !21! !22! !80! !443! !3306! !8080! !25! !143! !3389! !110!
60.214.192.171 -  !80!
196.73.88.195 -  !25! !8080!
82.0.225.19 -  !3306!
166.167.126.72 -  !80! !443!
85.95.222.183 -  !80! !21! !443! !110!
90.247.78.147 -  !80! !443!
32.251.28.59 -  !80!
38.236.93.22 -  !443! !80! !21! !25! !3389! !8080! !110! !143! !22!
49.40.247.190 -  !110!
194.122.62.144 -  !80!
126.73.107.144 -  !80! !25!
32.74.231.108 -  !3389!
159.76.34.250 -  !80!
12.164.80.44 -  !21!
